index,CID,Molecule (RDKit Mol),SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
302,433294,[Cl-].[Li+],-5.992,0,31.819137,0,42.394,41.984857,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2.133893,0,0,0,0,0,0,0,0,0.887403,13.06156,1.887403,0.014287,31.267636,0,0,0,0,0,0,0,0,0,0,0,31.267636,0,0,0,0,0,0,0,0,0,12.407033,0,0,0,0,0,0,0,0,0,0,0,0,18.860603,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,363272,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,3.9366,93.1617,137.557419,28.26,310.441,310.204513,3,1,2,1,2,0,3,23,49,6,2,3,4,1,2,3,1,1,1,0.6,14.139554,9.206552,7.776522,6.723428,5.798926,9.206552,7.776522,6.723428,5.798926,-1.48,13.913476,5.006141,1.921593,4.736863,36.125039,6.420822,11.835812,43.361488,18.199101,0,10.902925,0,0,5.749512,0,4.736863,0,9.883888,11.835812,44.566771,20.19931,29.456481,0,5.749512,10.902925,9.720841,4.89991,0,0,0,13.344559,54.86083,41.646113,7.109798,5.749512,0,0,0,0,20,0,0,0,0,0,0,0,2,1,0,23,4,0,0,18,5,0,2,4,3,1,1,0,0,2,2,0,0,9,10,0,0,0,1,4,1,0,0,0,12,11
304,317505,CC[C@@H]1C[C@H]2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C31,3.9366,93.1617,137.557419,28.26,310.441,310.204513,3,1,2,1,2,0,3,23,49,6,2,3,4,1,2,3,1,1,1,0.6,14.139554,9.206552,7.776522,6.723428,5.798926,9.206552,7.776522,6.723428,5.798926,-1.48,13.913476,5.006141,1.921593,4.736863,36.125039,6.420822,11.835812,43.361488,18.199101,0,10.902925,0,0,5.749512,0,4.736863,0,9.883888,11.835812,44.566771,20.19931,29.456481,0,5.749512,10.902925,9.720841,4.89991,0,0,0,13.344559,54.86083,41.646113,7.109798,5.749512,0,0,0,0,20,0,0,0,0,0,0,0,2,1,0,23,4,0,0,18,5,0,2,4,3,1,1,0,0,2,2,0,0,9,10,0,0,0,1,4,1,0,0,0,12,11
305,270840,CC12CCC(O)CC1CCC1C2CCC2(C)C(C(=O)CO)CCC12,3.5676,93.3166,145.764758,57.53,334.5,334.250795,3,2,2,2,3,0,3,24,58,4,0,4,4,0,0,0,0,4,4,0.952381,15.337845,10.21524,9.883991,9.182584,7.874562,10.21524,9.883991,9.182584,7.874562,-0.41,17.026435,5.805054,2.263537,0,28.707148,4.794537,40.419511,71.634869,0,0,0,0,0,0,0,15.007592,0,0,40.419511,77.738835,6.606882,0,0,0,5.783245,10.213055,4.794537,0,0,0,13.847474,92.289,5.917906,6.103966,6.606882,5.783245,0,0,0,21,0,0,0,0,0,0,0,0,3,0,24,6,1,0,20,0,0,2,6,3,2,2,0,0,5,1,1,0,9,6,2,0,0,1,3,0,0,0,0,6,3
306,219099,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.2308,123.0107,184.766549,48.47,449.407,448.089138,5,1,4,1,5,1,8,29,51,5,3,1,2,1,1,2,2,0,0,0.333333,18.247121,10.752229,8.618922,6.793719,5.107081,9.600868,7.406747,5.624954,4.05319,-1.86,20.414301,8.479524,4.075015,10.216698,47.904411,17.63618,0,11.126903,36.398202,5.022633,10.086144,0,11.505249,0,35.54046,4.794537,0,9.27345,0,12.841643,42.94048,52.547739,0,0,63.039033,10.216698,9.694447,0,4.37354,12.407033,29.800041,47.279312,48.820026,11.120742,5.817863,0,5.90718,0,0,21,0,2,0,0,1,0,0,4,1,0,29,5,1,0,18,8,0,4,6,5,1,1,0,0,2,2,0,0,14,10,0,0,0,2,3,0,0,0,0,4,2
307,219077,CC(=O)N(C)C1(c2ccccc2)CCN(CCC[C@]2(c3ccc(Cl)c(Cl)c3)CCCN(C(=O)c3ccccc3)C2)CC1,7.4172,171.1915,259.947023,43.86,606.638,605.257583,5,0,8,0,3,2,7,42,83,5,3,2,2,0,2,2,3,0,0,0.428571,26.209652,15.818483,12.840744,10.39426,7.431654,15.062554,12.026344,9.65523,7.133562,-2.86,30.592989,13.196396,6.388267,0,66.285543,15.748453,0,66.933559,78.862772,10.045267,0,0,0,0,23.20188,9.589074,0,14.699729,0,56.402583,39.771454,105.598393,0,0,35.016239,14.699729,9.589074,0,0,0,77.799183,80.462057,51.128877,15.584192,0,0,5.90718,5.90718,0,35,0,2,0,0,0,0,1,2,2,0,42,14,2,0,21,9,0,8,7,5,0,0,0,0,6,3,3,0,21,7,2,0,0,0,5,0,0,0,0,0,0
308,213981,CN(C)CC(=O)C=C1c2ccccc2CCc2ccccc21.Cl,3.7694,98.18,143.787049,20.31,327.855,327.138992,2,0,3,0,2,0,3,23,45,3,2,0,1,0,0,0,2,0,1,0.25,14.39768,7.70749,6.076403,4.056136,3.09036,7.70749,6.076403,4.056136,3.09036,-1.9,17.453801,7.581271,3.898249,0,31.323255,17.63618,0,22.253806,54.606957,0,5.573105,0,0,0,12.407033,4.794537,0,4.89991,0,12.841643,20.6401,76.860763,0,0,23.763383,4.89991,4.794537,0,0,12.407033,48.530937,60.839918,0,6.544756,0,5.783245,0,0,0,20,0,1,0,0,0,0,1,0,1,0,23,5,2,0,11,6,0,3,3,2,0,0,0,0,3,2,2,0,10,5,0,0,0,0,2,1,0,0,0,4,2
309,213056,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,-0.4909,41.894,74.533586,100.62,185.179,185.068808,5,4,2,3,3,0,5,13,24,2,0,2,2,0,0,0,0,2,2,0.75,6.934538,4.233289,3.937854,3.338047,2.593832,4.233289,3.937854,3.338047,2.593832,-1.1,8.496118,2.227454,0.904252,5.733667,27.690591,9.589074,17.753718,12.841643,0,0,0,0,0,0,0,19.802129,0,0,23.487386,18.380568,0,0,0,0,11.938611,15.946722,9.589074,0,0,0,0,18.759549,5.917906,5.917906,5.538925,0,0,0,11.938611,8,0,0,0,0,0,0,1,0,4,0,13,5,2,0,7,0,0,2,9,5,4,3,0,0,5,0,2,0,2,3,1,1,0,1,0,0,0,0,0,2,1
310,213046,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,4.2558,138.252,211.351343,56.75,492.689,492.255897,6,0,5,0,6,2,7,35,71,7,2,5,5,1,2,2,1,3,3,0.678571,21.295987,14.614157,12.571447,10.842198,9.020364,13.840761,11.766472,10.025282,8.224627,-1.99,22.226187,8.839709,3.721805,4.89991,65.256257,9.589074,35.507436,44.945751,24.265468,0,10.086144,0,5.817863,0,11.532487,9.589074,0,14.173359,35.507436,44.945751,44.168448,24.265468,0,0,39.250853,4.89991,19.388894,0,4.37354,0,24.974377,79.440953,44.654763,16.535732,5.817863,0,11.814359,0,0,28,0,0,0,0,1,0,0,4,2,0,35,5,2,0,29,5,0,5,8,6,0,0,0,0,2,2,0,0,17,14,0,0,0,4,3,0,0,0,0,7,4
311,204105,CC[C@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,4.4415,110.872,165.347049,61.64,382.46,382.189257,6,0,6,0,6,0,6,28,54,3,2,0,1,0,0,1,2,0,0,0.363636,17.198629,9.182143,6.515027,5.063505,3.577641,9.182143,6.515027,5.063505,3.577641,-3.02,19.733626,8.334231,3.419483,18.947452,39.86256,0,0,42.876557,40.53465,0,0,0,0,22.998047,0,18.947452,0,0,10.202815,26.186202,28.43919,47.02219,0,22.998047,11.42337,18.947452,0,0,5.101408,5.101408,6.923737,49.239846,22.756494,28.43919,5.711685,22.998047,0,0,0,22,0,0,0,0,0,0,0,2,4,0,28,12,0,0,10,8,0,6,10,6,0,0,0,0,6,5,0,0,7,10,0,0,0,0,2,1,0,0,0,2,1
